SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,49510,FUTSTK,0,KEI-Jan2026-FUT,175,KEI JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49518,FUTSTK,0,KFINTECH-Jan2026-FUT,500,KFINTECH JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49523,FUTSTK,0,KOTAKBANK-Jan2026-FUT,400,KOTAKBANK JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49525,FUTSTK,0,KPITTECH-Jan2026-FUT,425,KPITTECH JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49549,FUTSTK,0,LAURUSLABS-Jan2026-FUT,850,LAURUSLABS JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49554,FUTSTK,0,LICHSGFIN-Jan2026-FUT,1000,LICHSGFIN JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49585,FUTSTK,0,LICI-Jan2026-FUT,700,LICI JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49586,FUTSTK,0,LODHA-Jan2026-FUT,450,LODHA JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49587,FUTSTK,0,LT-Jan2026-FUT,175,LT JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49592,FUTSTK,0,LTF-Jan2026-FUT,2250,LTF JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49599,FUTSTK,0,LTIM-Jan2026-FUT,150,LTIM JAN FUT,27-01-2026 14:30,-0.01,XX,50,M,FUT,,
NSE,D,49600,FUTSTK,0,LUPIN-Jan2026-FUT,425,LUPIN JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
